pool,estimator,n,n_correct,top1_accuracy,ece,brier,average_precision,recall_at_90_precision,recall_at_99_precision,note_thin_positives
pool_en,a_verbalized,497,192,0.3863,0.3993,0.3577,0.6604,0.3333,0.0000,
pool_en,b_selected_id_exp_logprob,497,192,0.3863,0.3515,0.2878,0.8254,0.5781,0.0573,
hn,a_verbalized,497,90,0.1811,0.6539,0.5604,0.4462,0.0000,0.0000,
hn,b_selected_id_exp_logprob,497,90,0.1811,0.4974,0.3750,0.6645,0.2222,0.2000,
