estimator,n_cal,n_test,cal_n_correct,test_n_correct,thr_raw_for_p90,thr_isotonic_for_p90,test_ece_raw,test_ece_isotonic,test_brier_raw,test_brier_isotonic,test_r90_raw,test_r90_isotonic
a_verbalized,25,25,12,11,,,0.4140,0.1441,0.3689,0.1884,0.3636,0.3636
b_selected_id_exp_logprob,25,25,12,11,0.9712,1.0000,0.3209,0.1985,0.2264,0.1970,0.2727,0.0000
