estimator,n,n_correct,top1_accuracy,mean_score,std_score,mean_correct,mean_incorrect,ece,brier,average_precision,recall_at_90_precision,recall_at_99_precision
a_verbalized,50,23,0.4600,0.8580,0.0845,0.9065,0.8167,0.3980,0.3693,0.7171,0.0000,0.0000
b_selected_id_exp_logprob,50,23,0.4600,0.8130,0.2212,0.9507,0.6957,0.3530,0.2952,0.9012,0.7826,0.3478
c_old_softmax15,50,23,0.4600,0.0752,0.0104,0.0806,0.0706,0.3848,0.3916,0.8488,0.6087,0.2174
c1_p_yes,50,23,0.4600,0.3959,0.3000,0.5547,0.2605,0.1428,0.1964,0.7931,0.4783,0.3043
c2_mean_p_a_top3,50,23,0.4600,0.8760,0.0849,0.9267,0.8328,0.4160,0.3820,0.8220,0.4783,0.2609
