pool,metric,n_paired,baseline,gemma,delta_pp,mcnemar_p,delta_ci_excludes_zero
pool_en,top1,500,36.2% [32.0-40.4],37.8% [33.6-42.0],"+1.6 [-1.6, +4.8]",0.381733,False
pool_en,hit_at_15,500,44.0% [39.6-48.4],44.8% [40.4-49.2],"+0.8 [-2.2, +3.8]",0.68888,False
hn,top1,499,16.6% [13.4-20.0],20.0% [16.6-23.6],"+3.4 [+0.2, +6.6]",0.053289,True
hn,hit_at_15,499,23.8% [20.0-27.7],26.9% [23.1-30.9],"+3.0 [-0.2, +6.2]",0.095924,False
