estimator,n,n_correct,top1_accuracy,ece,brier,average_precision,recall_at_90_precision,recall_at_99_precision
a_verbalized,50,23,0.4600,0.3980,0.3693,0.7171,0.0000,0.0000
b_selected_id_exp_logprob,50,23,0.4600,0.3530,0.2952,0.9012,0.7826,0.3478
