T_level,n,correct,accuracy,standard_error,ci_low,ci_high
T1,500,45,0.09,0.012798437404620925,0.06491506268694298,0.11508493731305701
T2,500,55,0.11,0.013992855319769442,0.0825740035732519,0.1374259964267481
T3,500,89,0.178,0.017106489996489636,0.1444712796068803,0.21152872039311968
T4,500,111,0.222,0.018585801031970616,0.1855718299773376,0.2584281700226624
T5,500,149,0.298,0.020454632727086544,0.2579089198549104,0.3380910801450896
T6,500,169,0.338,0.02115447943108031,0.2965372203150826,0.37946277968491743
T7,497,202,0.40643863179074446,0.022031908010454085,0.36325609209025445,0.4496211714912345
T8,500,210,0.42,0.02207260745811423,0.37673768938209606,0.4632623106179039
