user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_058d9dc1,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_058d9dc1.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_058d9dc1.txt,skipped_existing,,14088,14088,0,324,gpt-4o-mini
user_0669bdf6,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0669bdf6.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0669bdf6.txt,skipped_existing,,9392,9392,0,363,gpt-4o-mini
user_0697c470,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0697c470.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0697c470.txt,skipped_existing,,10257,10257,0,370,gpt-4o-mini
user_07cb458d,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_07cb458d.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_07cb458d.txt,skipped_existing,,26299,25000,1,311,gpt-4o-mini
user_07db2c6a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_07db2c6a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_07db2c6a.txt,skipped_existing,,9498,9498,0,399,gpt-4o-mini
user_07ec3726,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_07ec3726.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_07ec3726.txt,skipped_existing,,19040,19040,0,350,gpt-4o-mini
user_07faa0fc,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_07faa0fc.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_07faa0fc.txt,skipped_existing,,6365,6365,0,300,gpt-4o-mini
user_0898fc4b,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0898fc4b.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0898fc4b.txt,skipped_existing,,19943,19943,0,391,gpt-4o-mini
user_08aa624b,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_08aa624b.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_08aa624b.txt,skipped_existing,,16001,16001,0,345,gpt-4o-mini
user_08c32973,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_08c32973.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_08c32973.txt,skipped_existing,,18805,18805,0,402,gpt-4o-mini
user_08e9ce6e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_08e9ce6e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_08e9ce6e.txt,skipped_existing,,11536,11536,0,334,gpt-4o-mini
user_092e219d,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_092e219d.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_092e219d.txt,skipped_existing,,9161,9161,0,317,gpt-4o-mini
