pool,n_unique,n_reason_ok,n_reason_err,n_permanent_error,top1_correct,top1_accuracy,hit_at_15_count,hit_at_15,n_extract_ok,n_chunked,chunked_frac
pool_en,500,500,0,0,181,0.362,220,0.44,500,375,0.75
hn,499,499,0,0,83,0.1663,119,0.2385,499,497,0.996
