pool,metric,n_paired,baseline,cross_tier,delta_pp,mcnemar_p,delta_ci_excludes_zero
pool_en,top1,499,36.2% [32.0-40.4],38.7% [34.5-42.9],"+2.4 [-1.8, +6.8]",0.327123,False
pool_en,hit_at_15,499,44.0% [39.6-48.4],47.3% [42.9-51.7],"+3.2 [-1.2, +7.8]",0.194857,False
hn,top1,499,16.6% [13.4-20.0],18.2% [14.8-21.6],"+1.6 [-2.4, +5.6]",0.484118,False
hn,hit_at_15,499,23.8% [20.0-27.7],24.2% [20.6-28.1],"+0.4 [-3.8, +4.6]",0.926704,False
