pool,metric,n_baseline,n_cross_tier,n_paired,baseline_rate,baseline_ci_low,baseline_ci_high,baseline_pct,cross_tier_rate,cross_tier_ci_low,cross_tier_ci_high,cross_tier_pct,delta_cross_minus_base,delta_ci_low,delta_ci_high,delta_pct_pts,delta_ci_excludes_zero,mcnemar_n11,mcnemar_n10_cross_only,mcnemar_n01_base_only,mcnemar_n00,mcnemar_p,n_boot,seed
pool_en,top1,500,499,499,0.362,0.32,0.404,36.2,0.3868,0.3447,0.4289,38.7,0.024,-0.018,0.0681,2.4,False,124,69,57,249,0.327123,10000,2026
pool_en,hit_at_15,500,499,499,0.44,0.396,0.484,44.0,0.4729,0.4289,0.517,47.3,0.0321,-0.012,0.0782,3.21,False,161,75,59,204,0.194857,10000,2026
hn,top1,499,499,499,0.1663,0.1343,0.2004,16.6,0.1824,0.1483,0.2164,18.2,0.016,-0.024,0.0561,1.6,False,37,54,46,362,0.484118,10000,2026
hn,hit_at_15,499,499,499,0.2385,0.2004,0.2766,23.8,0.2425,0.2064,0.2806,24.2,0.004,-0.0381,0.0461,0.4,False,61,60,58,320,0.926704,10000,2026
