pool,metric,n_paired,mpnet_rate,mpnet_ci_low,mpnet_ci_high,mpnet_pct,jina_rate,jina_ci_low,jina_ci_high,jina_pct,delta_jina_minus_mpnet,delta_ci_low,delta_ci_high,delta_pp,delta_ci_pp,delta_ci_excludes_zero,mcnemar_n11_both,mcnemar_n10_jina_only,mcnemar_n01_mpnet_only,mcnemar_n00_neither,mcnemar_p,n_boot,seed
pool_en,hit_at_15,500,0.44,0.396,0.484,44.0% [39.6-48.4],0.664,0.622,0.704,66.4% [62.2-70.4],0.224,0.18,0.27,22.4,"[+18.0, +27.0]",True,196,136,24,144,0.0,10000,2026
hn,hit_at_15,499,0.2385,0.2004,0.2766,23.8% [20.0-27.7],0.4569,0.4148,0.501,45.7% [41.5-50.1],0.2184,0.1723,0.2645,21.84,"[+17.2, +26.5]",True,91,137,28,243,0.0,10000,2026
